Customer_Name,Renewal_Date,Customer_Review,Net_Promoter_Score
East People Research,2016-01-01,"Your team responded to our requests in a less than ideal way. Even the time-off that you provided to us was incomplete during the deadline, and we are not sure if there was no time-off period and you only gave",6
Data Interactive Vision,2013-01-01,"In terms of success, your software has been awarded in this category. Some other companies may have the most well-known and successful product reviews. To help you choose the one that is right for you, you should look at the",5
Star West Galaxy,2022-01-01, ,10
Building Design Max,2016-08-01,"I would characterize the value we got from your software offering as good to very good. I have not encountered any issues on any of my hardware, software, or services with the software product so far. We use it for monitoring equipment",7
Galaxy Provider Star,2020-03-01,"In terms of success, your software has been rated ""Good"" by the Productivity Index, and we think you're good at what you do.

Productivity Index: Your software score shows that we've ranked it highly",7
Construction Max,2018-09-01,"By the end the team and I thought it was awesome...

Great software, great developer with passion...


By: Matt Stadler


Rating: 4 | Total score: 4

By Joe Cz",7
Medicine Systems,2019-10-01,"My experience with customer support was excellent, and I plan to purchase more products from these sites once they are closed.

Rating 4.75 from 4 reviews Read all 4 reviews by A Customer in Great.

Questions answered",6
Electronic Adventure Hardware,2016-05-01,"Your team responded to our requests in a rapid, thoughtful way. With a handful of reviews for our hardware products, you delivered an outstanding solution.

Conclusion

We are confident in our product design and development team. From",4
Venture Advanced,2017-10-01, ,7
Contract Bell Net,2022-02-01,"I would characterize the value we got from your software offering as being about providing support rather than providing features. If you could do better than what we did here, I would suggest it.

Microsoft

I would advise you",3
Star Data Architecture,2017-04-01, ,2
Venture Future Software,2022-01-01, ,5
Medicine Federated,2021-04-01,Our experience with your software product was not an easy one. We didn't see a need to review software products in terms of the overall quality of their functionality or their user experience. We did not buy the software's claims to be,6
Net Max Construction,2019-02-01,"Your customer success this past quarter has been outstanding - your customer satisfaction has been very high. To help you build upon your customer success, we have been upgrading some of your hardware products, including your new XFX R9 285X",2
Federated Omega Hill,2015-03-01,At first it was easy to use and then a couple of buttons were missing and the system needed to be restored at factory. The system then needed some repairs and it took a while to get it going again. After the initial repair,6
Adventure Industries Telecom,2020-12-01,"Your customer success this past quarter has been an impressive one on multiple fronts. To make a long story short, we created an incredible mobile app for your customers that's now growing at more than 40 percent year over year. That's phenomenal growth from the end of 2012 to now,",10
Omega Graphics,2021-08-01,"I would characterize the value we got from your software offering as not significant, not significant because we've seen no change in our customer service. I'll go back to the example from our review. It used to be this easy,",7
Galaxy Alpha,2020-03-01,"My team enjoyed your software for the most part, but found it lacking in features. With all the new features, how are you addressing those that need to exist such as the ability to easily edit profiles, backup/restore them",8
Star Universal Hill,2021-09-01, ,4
Solutions Star People,2019-05-01, ,10
