Customer_Name,Customer_Since_Date,ARR,Contract_Duration,Renewal_Date,Prediction_Point,Employee_Count,Annual_Revenue,Products_Purchased,Industry,Zip_Code,City,State,Latitude,Longitude,Churn
"Advanced Architecture General","2013-09-01","108928","24","2015-09-01","2015-03-01","15568","1934779424","business_critical","financial services","31042","Irwinton","GA","32.8112594","-83.1726541","1"
"Advanced Atlantic Power","2014-05-01","158971","12","2015-05-01","2014-11-01","13079","1226492465","business_critical","financial services","01224","Berkshire","MA","51.453488899999996","-1.0318729593399247","1"
"Advanced Contract","2014-11-01","65730","12","2015-11-01","2015-05-01","12121","1105998473","premium_plus","healthcare","62829","Dale","IL","37.9950474","-88.4917168","0"
"Advanced Contract","2014-11-01","46224","12","2016-11-01","2016-05-01","12121","1105998473","premium_plus","healthcare","62829","Dale","IL","37.9950474","-88.4917168","0"
"Advanced Contract","2014-11-01","74188","12","2017-11-01","2017-05-01","12121","1105998473","premium_plus","healthcare","62829","Dale","IL","37.9950474","-88.4917168","0"
"Advanced Contract","2014-11-01","85633","36","2020-11-01","2020-05-01","12121","1105998473","premium_plus","healthcare","62829","Dale","IL","37.9950474","-88.4917168","0"
"Advanced Contract","2014-11-01","43794","12","2021-11-01","2021-05-01","12121","1105998473","premium_plus","healthcare","62829","Dale","IL","37.9950474","-88.4917168","0"
"Advanced East Future","2015-08-01","17926","12","2016-08-01","2016-02-01","20556","2011814415","enterprise","financial services","68870","Riverdale","NE","40.7842762","-99.1623328","1"
"Advanced Galaxy Hill","2015-09-01","180448","36","2018-09-01","2018-03-01","34564","3847809710","premium_plus","manufacturing","06607","Bridgeport","CT","41.1670412","-73.2048348","0"
"Advanced Galaxy Hill","2015-09-01","291661","12","2019-09-01","2019-03-01","34564","3847809710","premium_plus","manufacturing","06607","Bridgeport","CT","41.1670412","-73.2048348","0"
"Advanced Galaxy Hill","2015-09-01","255164","24","2021-09-01","2021-03-01","34564","3847809710","premium_plus","manufacturing","06607","Bridgeport","CT","41.1670412","-73.2048348","0"
"Advanced Galaxy Hill","2015-09-01","231132","12","2022-09-01","2022-03-01","34564","3847809710","premium_plus","manufacturing","06607","Bridgeport","CT","41.1670412","-73.2048348","0"
"Advanced General Vision","2011-10-01","184419","24","2013-10-01","2013-04-01","38328","4402216586","premium_plus","telecom","30521","Carnesville","GA","34.3698266","-83.235155","0"
"Advanced General Vision","2011-10-01","334873","36","2016-10-01","2016-04-01","38328","4402216586","premium_plus","telecom","30521","Carnesville","GA","34.3698266","-83.235155","0"
"Advanced General Vision","2011-10-01","159900","12","2017-10-01","2017-04-01","38328","4402216586","premium_plus","telecom","30521","Carnesville","GA","34.3698266","-83.235155","0"
"Advanced General Vision","2011-10-01","40415","24","2019-10-01","2019-04-01","38328","4402216586","premium_plus","telecom","30521","Carnesville","GA","34.3698266","-83.235155","0"
"Advanced General Vision","2011-10-01","221127","36","2022-10-01","2022-04-01","38328","4402216586","premium_plus","telecom","30521","Carnesville","GA","34.3698266","-83.235155","0"
"Advanced Hill Innovation","2020-12-01","149401","12","2021-12-01","2021-06-01","10071","616724525","business_critical","manufacturing","75490","Trenton","TX","33.4306652","-96.3385926","0"
