Customer_Name,ARR,Contract_Duration,Prediction_Point,Products_Purchased
Advanced Architecture General,108928,24,2015-03-01,business_essentials
Advanced Atlantic Power,158971,12,2014-11-01,business_essentials
Advanced Contract,65730,12,2015-05-01,starter_pack
Advanced Contract,46224,12,2016-05-01,starter_pack
Advanced Contract,74188,12,2017-05-01,business_essentials
Advanced Contract,85633,36,2020-05-01,business_essentials
Advanced Contract,43794,12,2021-05-01,starter_pack
Advanced East Future,17926,12,2016-02-01,starter_pack
Advanced East Future,22505,12,2017-02-01,starter_pack
Advanced East Future,21896,24,2019-02-01,business_essentials
Advanced East Future,12398,24,2021-02-01,enterprise
Advanced Galaxy Hill,180448,36,2018-03-01,enterprise
Advanced Galaxy Hill,291661,12,2019-03-01,business_essentials
Advanced Galaxy Hill,255164,24,2021-03-01,enterprise
Advanced Galaxy Hill,231132,12,2022-03-01,starter_pack
Advanced General Vision,184419,24,2013-04-01,enterprise
Advanced General Vision,334873,36,2016-04-01,business_essentials
Advanced General Vision,159900,12,2017-04-01,starter_pack
Advanced General Vision,40415,24,2019-04-01,business_essentials
Advanced General Vision,221127,36,2022-04-01,enterprise
Advanced Hill Innovation,149401,12,2021-06-01,enterprise
Advanced Interactive Electronics,33415,12,2016-02-01,enterprise
Advanced Power Application,185793,12,2020-07-01,business_essentials
Advanced Power Application,216789,24,2022-07-01,business_essentials
Advanced Resource,140846,12,2011-11-01,enterprise
Advanced Resource,84239,12,2012-11-01,enterprise
Advanced Resource,276381,12,2013-11-01,business_essentials
Advanced Resource,114110,12,2014-11-01,enterprise
Advanced Resource,161724,12,2015-11-01,business_essentials
Advanced Virtual,106722,24,2020-12-01,starter_pack
Advanced Virtual,137615,12,2021-12-01,business_essentials
Advanced Virtual Future,97431,12,2011-11-01,starter_pack
Advanced Virtual Future,117723,24,2013-11-01,enterprise
Advanced Virtual Future,94748,24,2015-11-01,enterprise
Advanced Virtual Future,118798,12,2016-11-01,enterprise
Advanced Virtual Future,157191,24,2018-11-01,starter_pack
Advanced Virtual Future,83412,12,2019-11-01,business_essentials
Advanced Virtual Future,142098,12,2020-11-01,business_essentials
Advanced Vision,152993,36,2015-02-01,enterprise
Adventure Advanced Technology,246888,12,2015-06-01,starter_pack
Adventure Construction Future,183347,12,2020-12-01,enterprise
Adventure Construction Future,106902,12,2021-12-01,starter_pack
Adventure Construction Power,94778,24,2018-11-01,starter_pack
Adventure Construction Power,173281,36,2021-11-01,enterprise
Adventure East Industries,322944,12,2020-04-01,starter_pack
Adventure Future Hardware,105854,12,2013-12-01,enterprise
Adventure General Software,259857,24,2020-03-01,business_essentials
Adventure Industries Net,178627,12,2012-11-01,business_essentials
Adventure Industries Telecom,172913,24,2016-06-01,enterprise
Adventure Pacific,12699,12,2010-07-01,business_essentials
Adventure Resource Interactive,229737,12,2012-07-01,enterprise
Adventure Source,123150,12,2018-01-01,business_essentials
Adventure Source,233495,12,2019-01-01,starter_pack
Adventure Source,23349,36,2022-01-01,starter_pack
Adventure Virtual,209559,12,2018-06-01,business_essentials
Adventure Virtual,279165,12,2019-06-01,enterprise
Adventure Virtual,10000,36,2022-06-01,starter_pack
Alpha Application Analysis,149668,12,2018-07-01,enterprise
Alpha Application Analysis,325612,24,2020-07-01,enterprise
Alpha Bell Star,106802,24,2012-10-01,starter_pack
Alpha Bell Star,75854,24,2014-10-01,starter_pack
Alpha Construction Star,176400,24,2013-12-01,business_essentials
Alpha Construction Star,244092,12,2014-12-01,starter_pack
Alpha Direct Internet,64978,36,2018-09-01,business_essentials
Alpha Direct Internet,58755,24,2020-09-01,starter_pack
Alpha Direct Internet,26511,12,2021-09-01,starter_pack
Alpha East Research,278633,36,2017-12-01,business_essentials
Alpha East Research,330461,12,2018-12-01,enterprise
Alpha East Research,182791,24,2020-12-01,enterprise
Alpha East Research,410592,12,2021-12-01,business_essentials
Alpha Hill,149795,12,2013-09-01,business_essentials
Alpha Hill Source,67300,12,2015-03-01,enterprise
Alpha Hill Source,104015,36,2018-03-01,enterprise
Alpha Hill Source,24753,12,2019-03-01,enterprise
Alpha Innovation,26770,24,2018-08-01,enterprise
Alpha Innovation,33521,12,2019-08-01,business_essentials
Alpha Innovation,14682,12,2020-08-01,enterprise
Alpha Power Analysis,84501,24,2016-10-01,business_essentials
Alpha Power Analysis,47044,36,2019-10-01,starter_pack
Alpha Software,70508,12,2012-05-01,business_essentials
Analysis Advanced,32558,36,2017-01-01,enterprise
Analysis Advanced,48077,12,2018-01-01,enterprise
Analysis Advanced,44648,24,2020-01-01,business_essentials
Analysis Advanced,53310,24,2022-01-01,starter_pack
Analysis Alpha Medicine,27757,24,2019-11-01,starter_pack
Analysis Atlantic Direct,98452,36,2013-10-01,starter_pack
Analysis Bell,55710,24,2014-08-01,business_essentials
Analysis Data,48711,36,2020-02-01,business_essentials
Analysis East,29997,24,2014-03-01,business_essentials
Analysis East,33086,12,2015-03-01,enterprise
Analysis East,34066,36,2018-03-01,enterprise
Analysis East,36706,12,2019-03-01,business_essentials
Analysis Galaxy Federated,202977,12,2016-03-01,starter_pack
Analysis Galaxy Federated,236037,12,2017-03-01,business_essentials
Analysis Galaxy Federated,331355,12,2018-03-01,business_essentials
Analysis Galaxy People,65259,12,2019-12-01,business_essentials
Analysis Galaxy People,36430,24,2021-12-01,enterprise
Analysis Graphics,98628,24,2014-12-01,starter_pack
Analysis Graphics,42028,12,2015-12-01,starter_pack
Analysis Interactive Star,134868,12,2018-05-01,enterprise
Analysis Medicine Architecture,127730,12,2019-09-01,enterprise
Analysis Medicine Architecture,185744,12,2020-09-01,starter_pack
Analysis Medicine Digital,135091,36,2016-10-01,business_essentials
Analysis Medicine Digital,117368,12,2017-10-01,enterprise
Analysis Medicine Digital,264366,12,2018-10-01,starter_pack
Analysis Pacific Adventure,235226,12,2011-10-01,starter_pack
Analysis Pacific Adventure,375247,12,2012-10-01,enterprise
Analysis Pacific Adventure,319357,12,2013-10-01,starter_pack
Analysis Pacific Software,164393,12,2014-11-01,business_essentials
Analysis Star,190107,24,2012-04-01,enterprise
Analysis Studio,176126,24,2018-04-01,business_essentials
Analysis Studio,267712,12,2019-04-01,enterprise
Analysis Studio,91197,24,2021-04-01,starter_pack
Analysis Studio,221611,12,2022-04-01,business_essentials
Analysis Vision,64370,12,2020-06-01,enterprise
Analysis Vision,50624,24,2022-06-01,business_essentials
Application Advanced Vision,25043,24,2020-07-01,business_essentials
Application Advanced Vision,40591,12,2021-07-01,starter_pack
