Customer_Name,Customer_Since_Date,ARR,Contract_Duration,Renewal_Date,Prediction_Point,Employee_Count,Annual_Revenue,Industry,State,City,Zip_Code,Latitude,Longitude,Products_Purchased,Churn,Customer_Succes_Manager,"CSAT (270 days count)","CSAT[Customer_Review] (270 days tokens)","CSAT[Customer_Review] (latest)","CSAT[Net_Promoter_Score] (270 days avg)","CSAT[Net_Promoter_Score] (270 days missing count)","CSAT[Net_Promoter_Score] (latest)","Customers (5 years count)","Customers[ARR] (5 years avg)","Customers[ARR] (5 years missing count)","Customers[Contract_Duration] (5 years avg)","Customers[Contract_Duration] (5 years counts)","Customers[Contract_Duration] (5 years most frequent)","Customers[Contract_Duration] (5 years unique count)","Customers[Customer_Succes_Manager] (5 years counts)","Customers[Customer_Succes_Manager] (5 years most frequent)","Customers[Customer_Succes_Manager] (5 years unique count)","Customers[Products_Purchased] (5 years count of business_essentials)","Customers[Products_Purchased] (5 years count of enterprise)","Customers[Products_Purchased] (5 years count of starter_pack)","Customers[Products_Purchased] (5 years most frequent)","Customers[Products_Purchased] (5 years unique count)","Prediction_Point (days from Product_Usage[Activity_Timestamp]) (1 month avg)","Prediction_Point (days from Product_Usage[Activity_Timestamp]) (1 month missing count)","Prediction_Point (days from Product_Usage[Activity_Timestamp]) (180 days avg)","Prediction_Point (days from Product_Usage[Activity_Timestamp]) (180 days missing count)","Product_Usage (1 month count)","Product_Usage (180 days count)","Product_Usage (days since previous event by Customer_Name) (1 month avg)","Product_Usage (days since previous event by Customer_Name) (1 month missing count)","Product_Usage (days since previous event by Customer_Name) (180 days avg)","Product_Usage (days since previous event by Customer_Name) (180 days missing count)","Product_Usage[Activity_Type] (1 month counts)","Product_Usage[Activity_Type] (1 month most frequent)","Product_Usage[Activity_Type] (1 month unique count)","Product_Usage[Activity_Type] (180 days counts)","Product_Usage[Activity_Type] (180 days most frequent)","Product_Usage[Activity_Type] (180 days unique count)","Product_Usage[UserID] (1 month counts)","Product_Usage[UserID] (1 month most frequent)","Product_Usage[UserID] (1 month unique count)","Product_Usage[UserID] (180 days counts)","Product_Usage[UserID] (180 days most frequent)","Product_Usage[UserID] (180 days unique count)"
"Advanced Analysis Data",2010-08-01,52519,24,2012-08-01,2012-02-01,41368,3814084822,healthcare,OH,Toledo,43657,41.6529143,-83.5378173,business_essentials,0,"Tammi Manns",0,,,,,,0,,,,,,0.0,,,0.0,0.0,0.0,0.0,,0.0,12.54497,0,83.6412,0,4,31,5.605556,1,5.646111,1,"{""download report"" : 2.0, ""create report"" : 2.0}","create report",2.0,"{""build a chart"" : 2.0, ""upload data"" : 2.0, ""launch a job"" : 4.0, ""sign in"" : 2.0, ""run analysis"" : 3.0, ""download report"" : 2.0, ""create report"" : 4.0, ""invite team member"" : 3.0, ""share report"" : 4.0, ""download data"" : 5.0}","download data",10.0,"{""ID_19130"" : 1.0, ""ID_36398"" : 1.0, ""ID_34888"" : 1.0, ""ID_28531"" : 1.0}",ID_19130,4.0,"{""ID_36113"" : 2.0, ""ID_27479"" : 1.0, ""ID_34888"" : 5.0, ""ID_38225"" : 2.0, ""ID_17582"" : 1.0, ""ID_16896"" : 4.0, ""ID_25267"" : 1.0, ""ID_36398"" : 2.0, ""ID_28531"" : 5.0, ""ID_19130"" : 1.0, ""ID_24920"" : 2.0, ""ID_31695"" : 3.0, ""ID_36164"" : 2.0}",ID_28531,13.0
"Advanced Analysis Data",2010-08-01,56045,36,2015-08-01,2015-02-01,41368,3814084822,healthcare,OH,Toledo,43657,41.6529143,-83.5378173,starter_pack,0,"Arturo Hilliard",0,,unbelievable,,,10,1,52519.0,0,24.0,"{""24"" : 1.0}",24,1.0,"{""Tammi Manns"" : 1.0}","Tammi Manns",1.0,1.0,0.0,0.0,business_essentials,1.0,15.6765,0,64.72166,0,12,27,2.790467,1,6.786432,1,"{""build a chart"" : 1.0, ""upload data"" : 3.0, ""launch a job"" : 1.0, ""sign in"" : 1.0, ""run analysis"" : 2.0, ""download report"" : 2.0, ""invite team member"" : 1.0, ""download data"" : 1.0}","upload data",8.0,"{""build a chart"" : 1.0, ""upload data"" : 4.0, ""launch a job"" : 4.0, ""sign in"" : 1.0, ""run analysis"" : 3.0, ""download report"" : 6.0, ""invite team member"" : 1.0, ""share report"" : 4.0, ""download data"" : 3.0}","download report",9.0,"{""ID_36117"" : 3.0, ""ID_14239"" : 1.0, ""ID_25267"" : 1.0, ""ID_19130"" : 1.0, ""ID_24920"" : 3.0, ""ID_31695"" : 2.0, ""ID_36164"" : 1.0}",ID_24920,7.0,"{""ID_38225"" : 1.0, ""ID_36117"" : 3.0, ""ID_17582"" : 3.0, ""ID_14239"" : 2.0, ""ID_25267"" : 3.0, ""ID_36398"" : 1.0, ""ID_28531"" : 3.0, ""ID_19130"" : 1.0, ""ID_24920"" : 5.0, ""ID_31695"" : 3.0, ""ID_36164"" : 2.0}",ID_24920,11.0
"Advanced Analysis Data",2010-08-01,70497,24,2017-08-01,2017-02-01,41368,3814084822,healthcare,OH,Toledo,43657,41.6529143,-83.5378173,business_essentials,0,"Arturo Hilliard",0,,"good mobile",,,10,2,54282.0,0,30.0,"{""36"" : 1.0, ""24"" : 1.0}",24,2.0,"{""Arturo Hilliard"" : 1.0, ""Tammi Manns"" : 1.0}","Arturo Hilliard",2.0,1.0,0.0,1.0,business_essentials,2.0,6.926042,0,100.9311,0,2,19,0.9243056,1,9.426157,1,"{""create report"" : 1.0, ""upload data"" : 1.0}","create report",2.0,"{""upload data"" : 5.0, ""sign in"" : 1.0, ""run analysis"" : 2.0, ""download report"" : 1.0, ""create report"" : 1.0, ""invite team member"" : 4.0, ""share report"" : 4.0, ""download data"" : 1.0}","upload data",8.0,"{""ID_14239"" : 1.0, ""ID_16896"" : 1.0}",ID_14239,2.0,"{""ID_27479"" : 1.0, ""ID_38225"" : 2.0, ""ID_36117"" : 1.0, ""ID_17582"" : 4.0, ""ID_16896"" : 3.0, ""ID_14239"" : 2.0, ""ID_25267"" : 1.0, ""ID_28531"" : 1.0, ""ID_19130"" : 1.0, ""ID_31695"" : 2.0, ""ID_36164"" : 1.0}",ID_17582,11.0
"Advanced Analysis Data",2010-08-01,66667,12,2018-08-01,2018-02-01,41368,3814084822,healthcare,OH,Toledo,43657,41.6529143,-83.5378173,business_essentials,0,"Chastity Sorenson",1,"{""good"" : 1.0}",good,8.0,0,8,2,63271.0,0,30.0,"{""36"" : 1.0, ""24"" : 1.0}",24,2.0,"{""Arturo Hilliard"" : 2.0}","Arturo Hilliard",1.0,1.0,0.0,1.0,business_essentials,2.0,25.12083,0,101.4079,0,2,16,9.598611,1,10.45421,1,"{""download report"" : 1.0, ""share report"" : 1.0}","download report",2.0,"{""upload data"" : 3.0, ""launch a job"" : 4.0, ""download report"" : 2.0, ""invite team member"" : 3.0, ""share report"" : 3.0, ""download data"" : 1.0}","launch a job",6.0,"{""ID_17582"" : 1.0, ""ID_27479"" : 1.0}",ID_17582,2.0,"{""ID_36113"" : 1.0, ""ID_27479"" : 2.0, ""ID_34888"" : 2.0, ""ID_38225"" : 1.0, ""ID_17582"" : 3.0, ""ID_16896"" : 1.0, ""ID_14239"" : 1.0, ""ID_25267"" : 2.0, ""ID_36398"" : 1.0, ""ID_28531"" : 1.0, ""ID_36164"" : 1.0}",ID_17582,11.0
"Advanced Analysis Data",2010-08-01,44916,36,2021-08-01,2021-02-01,41368,3814084822,healthcare,OH,Toledo,43657,41.6529143,-83.5378173,enterprise,0,"Gilda Stevens",0,,"it's good",,,10,2,68582.0,0,18.0,"{""12"" : 1.0, ""24"" : 1.0}",12,2.0,"{""Chastity Sorenson"" : 1.0, ""Arturo Hilliard"" : 1.0}","Arturo Hilliard",2.0,2.0,0.0,0.0,business_essentials,1.0,16.63264,0,94.74579,0,3,17,3.081597,1,9.888889,1,"{""build a chart"" : 1.0, ""invite team member"" : 1.0, ""share report"" : 1.0}","build a chart",3.0,"{""build a chart"" : 3.0, ""sign in"" : 3.0, ""run analysis"" : 2.0, ""download report"" : 2.0, ""create report"" : 1.0, ""invite team member"" : 2.0, ""share report"" : 3.0, ""download data"" : 1.0}","build a chart",8.0,"{""ID_27479"" : 1.0, ""ID_17582"" : 1.0, ""ID_36164"" : 1.0}",ID_17582,3.0,"{""ID_39474"" : 1.0, ""ID_27479"" : 2.0, ""ID_34888"" : 2.0, ""ID_38225"" : 1.0, ""ID_36117"" : 1.0, ""ID_17582"" : 1.0, ""ID_25267"" : 1.0, ""ID_36398"" : 2.0, ""ID_28531"" : 1.0, ""ID_19130"" : 1.0, ""ID_31695"" : 2.0, ""ID_36164"" : 2.0}",ID_27479,12.0
"Advanced Application Consulting",2019-10-01,89315,36,2022-10-01,2022-04-01,46506,3246251142,retail,CO,Golden,80419,12.6656205,,starter_pack,1,"Isaac Sonnier",0,,,,,,0,,,,,,0.0,,,0.0,0.0,0.0,0.0,,0.0,10.07917,0,112.8809,0,2,11,5.820833,1,15.40958,1,"{""download report"" : 2.0}","download report",1.0,"{""build a chart"" : 3.0, ""launch a job"" : 1.0, ""run analysis"" : 1.0, ""download report"" : 2.0, ""invite team member"" : 2.0, ""share report"" : 1.0, ""download data"" : 1.0}","build a chart",7.0,"{""ID_38700"" : 1.0, ""ID_34852"" : 1.0}",ID_34852,2.0,"{""ID_13990"" : 1.0, ""ID_38700"" : 2.0, ""ID_22530"" : 1.0, ""ID_32336"" : 1.0, ""ID_26895"" : 2.0, ""ID_27357"" : 1.0, ""ID_37849"" : 1.0, ""ID_34852"" : 2.0}",ID_26895,8.0
"Advanced Atlantic",2017-08-01,43044,24,2019-08-01,2019-02-01,135392,11641957676,banking,PA,Ulysses,16948,41.9039569,,enterprise,1,"Jonnie Prado",0,,,,,,0,,,,,,0.0,,,0.0,0.0,0.0,0.0,,0.0,11.86285,0,73.65784,0,4,14,6.056944,1,13.64044,1,"{""share report"" : 1.0, ""download report"" : 1.0, ""invite team member"" : 1.0, ""create report"" : 1.0}","create report",4.0,"{""build a chart"" : 1.0, ""upload data"" : 2.0, ""launch a job"" : 2.0, ""run analysis"" : 2.0, ""download report"" : 1.0, ""create report"" : 2.0, ""invite team member"" : 2.0, ""share report"" : 1.0, ""download data"" : 1.0}","create report",9.0,"{""ID_17158"" : 1.0, ""ID_11376"" : 1.0, ""ID_14814"" : 1.0, ""ID_19596"" : 1.0}",ID_11376,4.0,"{""ID_20623"" : 2.0, ""ID_19596"" : 2.0, ""ID_38383"" : 1.0, ""ID_31767"" : 1.0, ""ID_17158"" : 1.0, ""ID_24243"" : 1.0, ""ID_14814"" : 2.0, ""ID_11376"" : 1.0, ""ID_24238"" : 1.0, ""ID_19295"" : 1.0, ""ID_38078"" : 1.0}",ID_14814,11.0
"Advanced Construction Net",2021-12-01,290890,12,2022-12-01,2022-06-01,5371,580268357,telecom,TX,Portland,78374,27.8818828,,business_essentials,0,"Nicolas Buxton",0,,,,,,0,,,,,,0.0,,,0.0,0.0,0.0,0.0,,0.0,6.598611,0,89.80826,0,1,9,,1,21.47552,1,"{""upload data"" : 1.0}","upload data",1.0,"{""upload data"" : 2.0, ""launch a job"" : 1.0, ""download report"" : 1.0, ""create report"" : 1.0, ""invite team member"" : 1.0, ""share report"" : 1.0, ""download data"" : 2.0}","download data",7.0,"{""ID_10752"" : 1.0}",ID_10752,1.0,"{""ID_24398"" : 2.0, ""ID_23977"" : 2.0, ""ID_27249"" : 2.0, ""ID_30110"" : 1.0, ""ID_19398"" : 1.0, ""ID_10752"" : 1.0}",ID_23977,6.0
"Advanced Consulting Net",2021-07-01,22369,12,2022-07-01,2022-01-01,224389,20591295545,manufacturing,PA,Springtown,18081,40.5564892,,starter_pack,1,"Alonso Houle",0,,,,,,0,,,,,,0.0,,,0.0,0.0,0.0,0.0,,0.0,14.91806,0,121.7963,0,1,10,,1,17.2936,1,"{""build a chart"" : 1.0}","build a chart",1.0,"{""build a chart"" : 1.0, ""upload data"" : 1.0, ""launch a job"" : 1.0, ""run analysis"" : 2.0, ""download report"" : 1.0, ""create report"" : 1.0, ""share report"" : 2.0, ""download data"" : 1.0}","run analysis",8.0,"{""ID_36889"" : 1.0}",ID_36889,1.0,"{""ID_14485"" : 2.0, ""ID_10434"" : 1.0, ""ID_36889"" : 1.0, ""ID_30938"" : 1.0, ""ID_37052"" : 1.0, ""ID_31449"" : 1.0, ""ID_26854"" : 1.0, ""ID_14653"" : 1.0, ""ID_21972"" : 1.0}",ID_14485,9.0
"Advanced Direct",2015-01-01,109553,12,2016-01-01,2015-07-01,174427,12693518629,manufacturing,GA,Edison,31746,31.567644,-84.739126,business_essentials,1,"Patrica Wolfe",0,,,,,,0,,,,,,0.0,,,0.0,0.0,0.0,0.0,,0.0,16.24844,0,87.55562,0,4,23,6.426389,1,7.637595,1,"{""invite team member"" : 1.0, ""launch a job"" : 1.0, ""sign in"" : 1.0, ""create report"" : 1.0}","create report",4.0,"{""build a chart"" : 4.0, ""launch a job"" : 2.0, ""sign in"" : 1.0, ""run analysis"" : 2.0, ""download report"" : 2.0, ""create report"" : 5.0, ""invite team member"" : 5.0, ""share report"" : 1.0, ""download data"" : 1.0}","create report",9.0,"{""ID_36152"" : 1.0, ""ID_32045"" : 1.0, ""ID_31238"" : 1.0, ""ID_30247"" : 1.0}",ID_30247,4.0,"{""ID_32045"" : 2.0, ""ID_31238"" : 2.0, ""ID_34684"" : 1.0, ""ID_32658"" : 3.0, ""ID_27085"" : 2.0, ""ID_30247"" : 2.0, ""ID_26329"" : 1.0, ""ID_36152"" : 1.0, ""ID_18431"" : 3.0, ""ID_14576"" : 1.0, ""ID_28871"" : 1.0, ""ID_36465"" : 3.0, ""ID_29915"" : 1.0}",ID_18431,13.0
